公司名稱,職缺內容,所需技能,職缺網址,擅長工具
科熱臺灣有限公司,軟體開發工程師,"負責大型專案的系統開發、測試和維護支援。
內容包含：
1. 系統分析、設計和開發
2. 擬定測試計畫、測試案例/腳本、建置測試環境、準備測試資料和執行測試
3. UAT和系統上線支援

必要條件
– 熟悉前端 HTML/CSS/JavaScript 等技術。
– 熟悉後端 Java 程式開發。
– 熟悉關聯式資料庫設計。
– 了解 Git 開發流程。
– 邏輯分析能力強，可獨立運作，擁有優異解決問題的能力。
– 對英文閱讀能力有信心，能夠快速閱讀技術文件。
– 能有效應付緊湊的專案進度。
",www.104.com.tw/job/6taxy?jobsource=hotjob_chr,"['Java', 'Spring', 'ANSI SQL', 'Oracle', 'HTML', 'J2EE', 'JavaScript', 'CSS', 'VueJS']"
台灣美光(台灣美光晶圓科技股份有限公司/台灣美光記憶體股份有限公司/美商美光亞太科技股份有限公司台灣分公司),DRAM System Engineer - Taichung,"As a DRAM System Engineer in the DRAM Engineering Group at Micron Technology Inc. you are responsible for system-level DRAM validation, system characterization and failure analysis, and experimentation as requested Your day to day functions may include: running and configuring diagnostic software, system debug, designing experiments, analyzing and interpreting data, crafting custom tools and presenting data to customers both inside and outside of Micron. On occasion you may need to carry out these responsibilities at the customers’ site. You will work with other specialists and management within the DRAM Engineering Group as well as other individuals from other departments throughout Micron. You will also collaborate with system enablers outside of Micron.
 
Preferred Skills and Experience with:
•    Hardware: X86, ARM, System, DRAM, Intel, AMD
•    Equipment: Oscilloscope, logic analyzer, motherboard
•    Software: Python, Linux",www.104.com.tw/job/6wqvf?jobsource=hotjob_chr,[]
緯德科技股份有限公司 (TechLink Corporation),Python工程師,"- 熟悉Python語言撰寫實務經驗1年以上。
- 可獨立或與團隊合作，工作態度積極、負責，能配合公司規定。
- 依不同經驗及能力來負責系統之分析(SA)、設計(SD)以及程式撰寫(PG)。
- 配合公司專案需求至客戶端駐點服務。",www.104.com.tw/job/695ve?jobsource=2018indexpoc,['Python']
丸佳資訊有限公司,Python全端工程師,"Python(Flask)、JavaScript、HTML、jQuery
• 1年以上軟體開發經歷
• 熟悉SQL、NoSQL資料庫
• 有RESTful API 設計及實作經驗
• 熟悉版本管理軟體 Git 使用

【加分項目】
• 熟悉",www.104.com.tw/job/6xykm?jobsource=2018indexpoc,"['Python', 'HTML', 'JavaScript', 'jQuery']"
連億國際開發股份有限公司,Python工程師,"徵有python程式背景的工程師，工作內容包含下列：
1. 開發網站(如Django framework)
2. ERP系統串連，如以SQLAlchemy連結Relational Database (SQL Server)開發APP
3.",www.104.com.tw/job/6cma2?jobsource=2018indexpoc,"['Java', 'Python', 'HTML', 'JavaScript', 'jQuery']"
hyve solutions_海峰電腦股份有限公司,Python Software Engineer,"Hyve Solutions is looking for a talented junior/mid-level Python software engineer to help write Python programs. 
You are",www.104.com.tw/job/5tobs?jobsource=2018indexpoc,"['Linux', 'UNIX', 'OOAD', 'OOP', 'C', 'C++', 'Java', 'Python', 'Database Management', 'MySQL']"
香港商易購全球有限公司台灣分公司,Senior Full Stack Developer (Python),"
Buyandship致力於為客戶提供最一致，最高效的服務，努力成為亞洲領先的電子商務跨境物流公司。 我們正在尋找資深Python工程師一同開發Django和Vue.js的專案項目。 您將與我們的designer合作，將美學化為完美像素，開發供",www.104.com.tw/job/6yr8x?jobsource=2018indexpoc,"['Python', 'MS SQL', 'PostgreSQL', 'HTML', 'CSS']"
皓展資訊股份有限公司,Python軟體工程師,"【工作內容】
參與人工智慧與物聯網產品研發

【職位條件】
1. 1年以上開發經驗。 
2. 熟悉Flask或其他Python網頁開發框架。 
3. 具Git版本控制使用經驗。
4. 具Docker Container 經驗尤佳",www.104.com.tw/job/6xj6a?jobsource=2018indexpoc,['Python']
伊諾科技有限公司,Senior Python Data Backend Engineer,"1.Design, develop, and maintain Big Data related projects including EDW system and ETL pipeline for data access, collection, processing and storage.
2.Manage deployment of the Big Data Infrastructure and services on AWS.
3.Dedicate to Big Data and Machine Learning Platform using Apache Spark and related technologies.
4.Investigate, survey and evaluate various state-of-the-art technologies.
5.Introduce new technologies and tackle the derived problems.
6.Implement and popularize excellent software development processes and best practices.",www.104.com.tw/job/6qwx5?jobsource=2018indexpoc,"['Linux', 'Python']"
欣創科技有限公司,Python工程師(PN001),"+ 具備 Python 實務經驗 
+ 工作態度積極、負責，重視團隊溝通合作 
+ 不當獨行俠，行有餘力時會主動支援及協助 

加分 
++ 有使用 Python 開發的開源程式碼專案可供參考 
++ 有撰寫 Unit Test 經驗",www.104.com.tw/job/6kgjo?jobsource=2018indexpoc,['Python']
